entity,window,date,title,domain,url,suggested_label,relevant
Apple Vision Pro,peak_week,2023-06-05,"Microsoft Word , Excel , and Teams apps will be available for the Apple Vision Pro AR headset",neowin.net,https://www.neowin.net/news/microsoft-word-excel-and-teams-apps-will-be-available-for-the-apple-vision-pro-ar-headset/,y,y
Apple Vision Pro,peak_week,2023-06-05,Apple finally unveils debut Vision Pro mixed reality headset,stuff.tv,https://www.stuff.tv/hot-stuff/apples-finally-unveils-debut-reality-pro-mixed-reality-headset/,y,y
Apple Vision Pro,peak_week,2023-06-05,Apple Vision Pro ; the best of both worlds ?,ibtimes.co.in,https://www.ibtimes.co.in/apple-vision-pro-teleports-you-into-future-sorts-859660,y,y
Apple Vision Pro,peak_week,2023-06-05,Apple Reveals Apple Vision Pro Augmented Reality Headset & Price in Canada,smartcanucks.ca,https://smartcanucks.ca/apple-reveals-apple-vision-pro-augmented-reality-headset/,y,y
Apple Vision Pro,peak_week,2023-06-05,"Apple Vision Pro is $3 , 500 . This much cheaper , 4 . 7 - star VR headset is our favorite alternative",cbsnews.com,https://www.cbsnews.com/essentials/apple-vision-pro-augmented-reality-headset-alternative/,y,y
Apple Vision Pro,peak_week,2023-06-05,Apple and Disney partner for Apple Vision Pro Disney+ day - one launch - Future Apple Hardware Discussions on AppleInsider Forums,forums.appleinsider.com,https://forums.appleinsider.com/discussion/232331,y,y
Apple Vision Pro,peak_week,2023-06-06,Vision Pro News | Vision Pro Latest News,newsnow.co.uk,https://www.newsnow.co.uk/h/Technology/Apple/Vision+Pro,y,y
Apple Vision Pro,peak_week,2023-06-06,Apple Vision Pro developer kits will be available - Future Apple Hardware Discussions on AppleInsider Forums,forums.appleinsider.com,https://forums.appleinsider.com/discussion/232344,y,y
Apple Vision Pro,peak_week,2023-06-06,Apple Vision Pro headset becomes a meme for its insane price point,moneycontrol.com,https://www.moneycontrol.com/news/trends/apple-vision-pro-headset-unveiled-at-wwdc-2023-memes-follow-10748831.html,y,y
Apple Vision Pro,peak_week,2023-06-06,Apple unveils Vision Pro : Twitter goes wild with memes about Apple first - ever VR headset,businesstoday.in,https://www.businesstoday.in/technology/news/story/apple-unveils-vision-pro-twitter-goes-wild-with-memes-about-apples-first-ever-vr-headset-384357-2023-06-06,y,y
Apple Vision Pro,peak_week,2023-06-06,Apple Vision Pro Headset Announced | Inquirer Technology,technology.inquirer.net,https://technology.inquirer.net/124825/apple-vision-pro-announced,y,y
Apple Vision Pro,peak_week,2023-06-06,Apple Finally Unveils Its AR Headset Known as Vision Pro,macobserver.com,https://www.macobserver.com/news/apple-finally-unveils-its-ar-headset-known-as-vision-pro/,y,y
Apple Vision Pro,peak_week,2023-06-06,BandWerk introduces first leather band for Apple Vision Pro - General Discussion Discussions on AppleInsider Forums,forums.appleinsider.com,https://forums.appleinsider.com/discussion/232349,y,y
Apple Vision Pro,peak_week,2023-06-06,Apple Vision Pro Release Date & Price 100 % DETAILED ...,knowyourmobile.com,https://www.knowyourmobile.com/apple-vision-pro/apple-vision-pro-release-date-price/,y,y
Apple Vision Pro,peak_week,2023-06-06,"Apple Announces  Vision Pro  With 3D Camera Starting At $3 , 499 ; Here Everything You Need To Know",zeenews.india.com,https://zeenews.india.com/technology/apple-vision-pro-with-3d-camera-announced-starting-at-3499-heres-everything-you-need-to-know-2618109.html,y,y
Apple Vision Pro,peak_week,2023-06-07,أبل فيجن برو تبصر النور وهذا سعرها ! - Lebanon News,lbcgroup.tv,https://www.lbcgroup.tv/news/technology/707218/%D8%A3%D8%A8%D9%84-%D9%81%D9%8A%D8%AC%D9%86-%D8%A8%D8%B1%D9%88-%D8%AA%D8%A8%D8%B5%D8%B1-%D8%A7%D9%84%D9%86%D9%88%D8%B1-%D9%88%D9%87%D8%B0%D8%A7-%D8%B3%D8%B9%D8%B1%D9%87%D8%A7/ar,y,y
Apple Vision Pro,peak_week,2023-06-07,Where to buy Apple Vision Pro ( when it comes out ),imore.com,https://www.imore.com/gaming/virtual-reality/where-to-buy-apple-vision-pro-when-it-comes-out,y,y
Apple Vision Pro,peak_week,2023-06-08,"Im not buying the Apple Vision Pro for $3 , 500 , but here why I want to rent one",tomsguide.com,https://www.tomsguide.com/opinion/im-not-buying-the-apple-vision-pro-for-dollar3500-but-heres-why-i-want-to-rent-one,y,y
Apple Vision Pro,peak_week,2023-06-08,Apple Vision Pro release date : When is the headset coming out ?,androidauthority.com,https://www.androidauthority.com/apple-vision-pro-release-date-3333188/,y,y
Apple Vision Pro,peak_week,2023-06-11,Apple Vision Pro developer kit applications could open in July - Apple Vision Pro Discussions on AppleInsider Forums,forums.appleinsider.com,https://forums.appleinsider.com/discussion/232405,y,y
Cursor,peak_week,2026-06-16,SpaceX buys AI coding startup Cursor for $60 billion in AI race,twincities.com,https://www.twincities.com/2026/06/16/spacex-buys-ai-coding-startup-cursor/,y,y
Cursor,peak_week,2026-06-16,SpaceX buys AI coding startup Cursor for $60 billion in AI race,courant.com,https://www.courant.com/2026/06/16/spacex-buys-ai-coding-startup-cursor/,y,y
Cursor,peak_week,2026-06-16,SpaceX buys AI coding startup Cursor for $60 billion in race for an edge over Anthropic and OpenAI,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/spacex-buys-ai-coding-startup-113132273.html,y,y
Cursor,peak_week,2026-06-16,SpaceX Buys AI Coding Startup Cursor for $60 Billion Amid AI Race,deccanchronicle.com,https://www.deccanchronicle.com/technology/spacex-acquires-cursor-for-60-billion-in-push-to-compete-with-anthropic-and-openai-1963958,y,y
Cursor,peak_week,2026-06-16,SpaceX to acquire AI coding startup Cursor for $60B post IPO,thenews.com.pk,https://www.thenews.com.pk/latest/1406138-spacex-to-acquire-ai-coding-startup-cursor-for-60b-post-ipo,y,y
Cursor,peak_week,2026-06-16,Meet 25 - year - old CEO Michael Truell who sold his company Cursor to SpaceX for $60 billion,moneycontrol.com,https://www.moneycontrol.com/news/trends/meet-25-year-old-ceo-michael-truell-who-sold-his-company-cursor-to-spacex-for-60-billion-13951242.html,y,y
Cursor,peak_week,2026-06-16,SpaceX buys AI coding startup Cursor for $60 billion in AI race,ocregister.com,https://www.ocregister.com/2026/06/16/spacex-buys-ai-coding-startup-cursor/,y,y
Cursor,peak_week,2026-06-16,SpaceX To Acquire AI Coding Startup Anysphere In $60 Billion Deal,ibtimes.com,https://www.ibtimes.com/spacex-acquire-ai-coding-startup-anysphere-60-billion-deal-3804174,y,y
Cursor,peak_week,2026-06-16,SpaceX announces $60 billion Cursor deal to boost AI coding,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/article/spacex-announces-60-billion-cursor-deal-to-boost-ai-coding-125509159.html,y,y
Cursor,peak_week,2026-06-16,SpaceX to acquire AI coding platform Cursor in $60B deal,proactiveinvestors.com,https://www.proactiveinvestors.com/companies/news/1093977/spacex-to-acquire-ai-coding-platform-cursor-in-60b-deal-1093977.html,y,y
Cursor,peak_week,2026-06-16,SpaceX buys AI coding startup Cursor for $60 billion in race for an edge over Anthropic and OpenAI,ksat.com,https://www.ksat.com/news/2026/06/16/spacex-buys-ai-coding-startup-cursor-for-60-billion-in-race-for-an-edge-over-anthropic-and-openai/,y,y
Cursor,peak_week,2026-06-16,SpaceX to acquire AI coding platform Cursor in $60B deal,proactiveinvestors.co.uk,https://www.proactiveinvestors.co.uk/companies/news/1093977/spacex-to-acquire-ai-coding-platform-cursor-in-60b-deal-1093977.html,y,y
Cursor,peak_week,2026-06-16,SpaceX Seals $60 Billion Cursor Acquisition Four Days After Record IPO,hngn.com,https://www.hngn.com/articles/271614/20260616/spacex-seals-60-billion-cursor-acquisition-four-days-after-record-ipo.htm,y,y
Cursor,peak_week,2026-06-17,SpaceX Exercises Option to Acquire Cursor in $60 Billion Deal,iclarified.com,https://www.iclarified.com/101220/spacex-exercises-option-to-acquire-cursor-in-60-billion-deal,y,y
Cursor,peak_week,2026-06-17,SpaceX Acquires AI Coding Startup Cursor In $60 Billion All - Stock Deal To Compete With OpenAI And Anthropic,freepressjournal.in,https://www.freepressjournal.in/tech/spacex-acquires-ai-coding-startup-cursor-in-60-billion-all-stock-deal-to-compete-with-openai-and-anthropic,y,y
Cursor,peak_week,2026-06-17,SpaceX To Buy Cursor - creator Anysphere For $60 Bn,businessworld.in,https://www.businessworld.in/article/spacex-to-buy-cursor-creator-anysphere-for-60-bn-610971,y,y
Cursor,peak_week,2026-06-17,Cursor Cofounder Net Worth $5 . 5 Billion After SpaceX Deal,newkerala.com,https://www.newkerala.com/news/a/indian-origin-cursor-cofounders-net-worth-hits-55-billion-449.htm,y,y
Cursor,peak_week,2026-06-17,SpaceX strikes $60bn deal for AI coding agent Cursor,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/spacex-strikes-60bn-deal-ai-091827714.html,y,y
Cursor,peak_week,2026-06-17,Indian - Origin Cursor Cofounder Aman Sanger Net Worth Reaches $5 . 5 Billion After SpaceX $60 Billion Acquisition Deal,freepressjournal.in,https://www.freepressjournal.in/tech/indian-origin-cursor-cofounder-aman-sangers-net-worth-reaches-55-billion-after-spacexs-60-billion-acquisition-deal,y,y
Cursor,peak_week,2026-06-17,Meet Aman Sanger And Pakistan Sualeh Asif : AI Founders Behind Elon Musk $60 Billion Cursor Deal,newsx.com,https://www.newsx.com/tech-and-auto/meet-aman-sanger-and-pakistans-sualeh-asif-ai-founders-behind-elon-musks-60-billion-dollars-cursor-deal-235448/,y,y
Cursor,peak_week,2026-06-18,Who is Aman Sanger ? Indian - origin MIT dropout whose AI startup Cursor is being acquired by SpaceX in a $60 billion deal,moneycontrol.com,https://www.moneycontrol.com/news/india/who-is-aman-sanger-indian-origin-mit-dropout-whose-ai-startup-cursor-is-being-acquired-by-spacex-in-a-60-billion-deal-13952661.html,y,y
Cursor,peak_week,2026-06-18,SpaceX Buys Cursor Fresh Off An $86 Billion IPO,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/spacex-buys-cursor-fresh-off-174816980.html,y,y
Cursor,peak_week,2026-06-18,SpaceX Shares Hit New High as Elon Musk Firm Agrees to Acquire AI Startup Cursor for $60 Billion,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/spacex-shares-hit-high-elon-171940079.html,y,y
Cursor,peak_week,2026-06-18,"Who is Aman Sanger , the Indian origin founder whose AI startup SpaceX bought for $60 billion ?",businesstoday.in,https://www.businesstoday.in/technology/artificial-intelligence/story/who-is-aman-sanger-the-indian-origin-founder-whose-ai-startup-spacex-bought-for-60-billion-537711-2026-06-18,y,y
Cursor,peak_week,2026-06-18,SpaceX Deal Makes Indian - Origin AI Founder Worth $5 . 5 Billion,indiawest.com,https://indiawest.com/spacex-deal-makes-indian-origin-ai-founder-worth-5-5-billion/,y,y
DBRX,peak_week,2024-03-27,"Databricks Launches DBRX , A New Standard for Efficient Open Source Models",aap.com.au,https://www.aap.com.au/aapreleases/cision20240327ae72130/,y,y
DBRX,peak_week,2024-03-27,"Inside the Creation of DBRX , the World Most Powerful Open Source AI Model",wired.com,https://www.wired.com/story/dbrx-inside-the-creation-of-the-worlds-most-powerful-open-source-ai-model/,y,y
DBRX,peak_week,2024-03-27,Databricks Unveils An AI Model That Helps Businesses Build Their Own Models,forbes.com,https://www.forbes.com/sites/richardnieva/2024/03/27/databricks-dbrx/,y,y
DBRX,peak_week,2024-03-27,"Databricks launches DBRX , challenging Big Tech in the open source AI race",venturebeat.com,https://venturebeat.com/ai/databricks-launches-dbrx-challenging-big-tech-in-open-source-ai-race/,y,y
DBRX,peak_week,2024-03-27,"Databricks open - sources its own large language model , DBRX",siliconangle.com,https://siliconangle.com/2024/03/27/databricks-open-sources-large-language-model/,y,y
DBRX,peak_week,2024-03-27,Generative AI : Databricks unveils open source large language model,computerweekly.com,https://www.computerweekly.com/news/366575612/Generative-AI-Databricks-unveils-open-source-large-language-model,y,y
DBRX,peak_week,2024-03-28,"Aakash Chaudhry wont return to Byju ; Alteria Rs 1 , 550 crore Fund - III",economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/aakash-chaudhry-wont-return-to-byjus-alterias-rs-1550-crore-fund-iii/articleshow/108833707.cms,n,n
DBRX,peak_week,2024-03-28,Databricks claims its open source LLM outsmarts GPT - 3 . 5,theregister.com,https://www.theregister.com/2024/03/28/databricks_dbrx_llm/,y,y
DBRX,peak_week,2024-03-28,Databricks claims its open source foundational LLM outsmarts GPT - 3 . 5,biztoc.com,https://biztoc.com/x/273081aae76baf50,y,y
DBRX,peak_week,2024-03-28,US company co - founded by two Romanians tackles AI with open - source model,romania-insider.com,https://www.romania-insider.com/databricks-tackles-ai-open-source-model-2024,y,y
DBRX,peak_week,2024-03-29,Big bucks keep streaming into generative AI . How long can this last ?,siliconangle.com,https://siliconangle.com/2024/03/29/big-bucks-keep-streaming-generative-ai-long-can-last/,n,n
DBRX,peak_week,2024-03-29,Qwen1 . 5 - MoE : Matching 7B Model Performance with 1 / 3 Activated Parameters,qwenlm.github.io,https://qwenlm.github.io/blog/qwen-moe/,n,n
DBRX,peak_week,2024-03-29,Boeing union wants a seat at the table - Make Me Smart from Marketplace,marketplace.org,https://www.marketplace.org/2024/03/29/boeings-union-wants-a-seat-at-the-table/,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,13wmaz.com,https://www.13wmaz.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,kare11.com,https://www.kare11.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,king5.com,https://www.king5.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wusa9.com,https://www.wusa9.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wzzm13.com,https://www.wzzm13.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wthr.com,https://www.wthr.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wbir.com,https://www.wbir.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,krem.com,https://www.krem.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,ksdk.com,https://www.ksdk.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,fox43.com,https://www.fox43.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,kgw.com,https://www.kgw.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wkyc.com,https://www.wkyc.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,10tv.com,https://www.10tv.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,13newsnow.com,https://www.13newsnow.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wtol.com,https://www.wtol.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,kens5.com,https://www.kens5.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,kvue.com,https://www.kvue.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,wtsp.com,https://www.wtsp.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Dream Machine,peak_week,2024-08-18,Alain Delon dies : French actor and heartthrob was 88,ktvb.com,https://www.ktvb.com/article/news/nation-world/alain-delon-died-french-actor/507-aaee03f7-b1d1-4896-a06b-3ef29b115778,n,n
Gemini (Google model),peak_week,2025-12-08,Gemini AI Guide : Build a Parallax Websites Without Coding,geeky-gadgets.com,https://www.geeky-gadgets.com/gemini-parallax-website-creator-no-code/,y,y
Gemini (Google model),peak_week,2025-12-08,Microsoft has a problem : nobody wants its poor AI products,windowscentral.com,https://www.windowscentral.com/artificial-intelligence/microsoft-has-a-problem-nobody-wants-to-buy-or-use-its-shoddy-ai,n,n
Gemini (Google model),peak_week,2025-12-09,"Google Year in Search 2025 : साल 2025 में क्या हुआ गुगल पर सर्च , जानकर उड़ जाएंगे होश",prabhatkhabar.com,https://www.prabhatkhabar.com/national/google-year-in-search-2025-top-trending-searches-india,n,n
Gemini (Google model),peak_week,2025-12-09,Hegseth Says AI Is the  Future of American Warfare  as Pentagon Launches New Platform,news.antiwar.com,https://news.antiwar.com/2025/12/09/hegseth-says-ai-is-the-future-of-american-warfare-as-pentagon-launches-new-platform/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,hallelujah1600.iheart.com,https://hallelujah1600.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,wyht.iheart.com,https://wyht.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,ktok.iheart.com,https://ktok.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,1075kissfm.iheart.com,https://1075kissfm.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,q1045.iheart.com,https://q1045.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,jamn957.iheart.com,https://jamn957.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,cool925.iheart.com,https://cool925.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,mixnation.iheart.com,https://mixnation.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,rock103columbus.iheart.com,https://rock103columbus.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,kisslouisville.iheart.com,https://kisslouisville.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
Gemini (Google model),peak_week,2025-12-09,Nearly 3 In 10 Teens Say They Use AI Chatbots Every Day,wjlbdetroit.iheart.com,https://wjlbdetroit.iheart.com/content/2025-12-09-nearly-3-in-10-teens-say-they-use-ai-chatbots-every-day/,n,n
